player;nationality;position;squad;age;value;height;league;games;minutes;goals;assists;saves;Pts/G;CL
Martin Aguirregabiria;es ESP;DF;Alaves;23;4000000;178;La Liga;31;2099;1;1;0;1.03;0
Oliver Burke;sco SCO;MF_FW;Alaves;22;4000000;188;La Liga;31;1429;1;2;0;1.03;0
VĂ­ctor Camarasa;es ESP;MF;Alaves;25;4000000;183;La Liga;17;1293;0;1;0;1.03;0
RubĂ©n Duarte;es ESP;DF;Alaves;23;4000000;172;La Liga;31;2663;0;1;0;1.03;0
Rodrigo Ely;br BRA;DF;Alaves;25;1000000;188;La Liga;25;2121;2;0;0;1.03;0
Ljubomir Fejsa;rs SRB;MF;Alaves;30;2000000;183;La Liga;13;786;0;0;0;1.03;0
Manu GarcĂ­a;es ESP;MF;Alaves;33;1000000;183;La Liga;30;1967;0;0;0;1.03;0
John Guidetti;se SWE;FW;Alaves;27;1000000;185;La Liga;5;96;0;0;0;1.03;0
Joselu;es ESP;FW;Alaves;29;5000000;191;La Liga;36;2782;11;2;0;1.03;0
VĂ­ctor Laguardia;es ESP;DF;Alaves;29;7000000;185;La Liga;31;2654;1;2;0;1.03;0
Javi LĂłpez;es ESP;DF;Alaves;17;80000;180;La Liga;1;90;0;0;0;1.03;0
JosĂ© Luis RodrĂ­guez;pa PAN;FW;Alaves;21;45000;180;La Liga;1;22;0;0;0;1.03;0
Lisandro MagallĂˇn;ar ARG;DF;Alaves;25;4000000;185;La Liga;17;1197;1;1;0;1.03;0
Abdallahi Mahmoud;mr MTN;MF;Alaves;19;10000;187;La Liga;3;152;0;0;0;1.03;0
AdriĂˇn MarĂ­n;es ESP;DF;Alaves;22;65000;181;La Liga;12;852;0;0;0;1.03;0
Guillermo MaripĂˇn;cl CHI;DF;Alaves;25;11000000;193;La Liga;1;90;0;0;0;1.03;0
Ă‰dgar MĂ©ndez;es ESP;MF_FW;Alaves;29;1600000;187;La Liga;16;864;1;0;0;1.03;0
Ximo Navarro;es ESP;DF;Alaves;29;2000000;176;La Liga;23;1903;0;0;0;1.03;0
Fernando Pacheco;es ESP;GK;Alaves;27;14000000;186;La Liga;27;2358;0;0;61;1.03;0
Lucas PĂ©rez;es ESP;FW;Alaves;30;12000000;180;La Liga;34;2496;11;5;0;1.03;0
TomĂˇs Pina Isla;es ESP;MF;Alaves;31;1500000;185;La Liga;20;1344;1;0;0;1.03;0
Pere Pons;es ESP;MF;Alaves;26;3500000;177;La Liga;30;1088;1;1;0;1.03;0
Luis Rioja;es ESP;MF;Alaves;25;2000000;176;La Liga;28;1634;0;0;0;1.03;0
Roberto;es ESP;GK;Alaves;33;800;192;La Liga;9;790;0;0;36;1.03;0
Borja Sainz;es ESP;MF_FW;Alaves;18;30000;174;La Liga;19;573;1;0;0;1.03;0
Antonio Sivera;es ESP;GK;Alaves;22;1000000;184;La Liga;3;270;0;0;2;1.03;0
Tachi;es ESP;DF;Alaves;21;800;184;La Liga;6;238;0;0;0;1.03;0
Aleix Vidal;es ESP;MF;Alaves;29;3000000;177;La Liga;29;2165;2;4;0;1.03;0
Wakaso;gh GHA;MF;Alaves;29;2000000;171;La Liga;16;1283;0;0;0;1.03;0
Chadrac Akolo;cd COD;FW_MF;Amiens;24;1000000;172;Ligue 1;15;544;2;1;0;0.82;0
Haitam Aleesami;no NOR;DF;Amiens;28;1000000;183;Ligue 1;22;1916;1;1;0;0.82;0
Alexis Blin;fr FRA;MF;Amiens;22;4000000;184;Ligue 1;24;1841;0;1;0;0.82;0
Mathieu Bodmer;fr FRA;MF;Amiens;36;25000;190;Ligue 1;9;88;1;0;0;0.82;0
Arturo Calabresi;it ITA;DF;Amiens;23;2000000;186;Ligue 1;21;1878;1;1;0;0.82;0
AurĂ©lien Chedjou;cm CMR;DF;Amiens;34;325;184;Ligue 1;22;1971;0;0;0;0.82;0
Quentin Cornette;fr FRA;FW_MF;Amiens;25;30000;172;Ligue 1;13;349;0;2;0;0.82;0
Fousseni DiabatĂ©;ml MLI;FW_MF;Amiens;23;2000000;175;Ligue 1;20;1190;1;3;0;0.82;0
Bakaye Dibassy;ml MLI;DF;Amiens;29;2000000;183;Ligue 1;22;1868;2;0;0;0.82;0
Juan Ferney Otero;co COL;FW_MF;Amiens;24;2000000;182;Ligue 1;18;1202;1;2;0;0.82;0
Saman Ghoddos;ir IRN;FW;Amiens;25;3000000;177;Ligue 1;5;231;1;0;0;0.82;0
Eddy GnahorĂ©;fr FRA;MF;Amiens;25;2000000;188;Ligue 1;17;1133;0;0;0;0.82;0
Sehrou Guirassy;fr FRA;FW;Amiens;23;15000000;187;Ligue 1;23;1921;9;2;0;0.82;0
RĂ©gis Gurtner;fr FRA;GK;Amiens;32;1000000;182;Ligue 1;28;2520;0;0;92;0.82;0
Christophe Jallet;fr FRA;DF;Amiens;35;25000;178;Ligue 1;12;855;1;1;0;0.82;0
GaĂ«l Kakuta;cd COD;MF_FW;Amiens;28;2000000;173;Ligue 1;24;2001;2;5;0;0.82;0
Moussa KonatĂ©;sn SEN;FW;Amiens;26;4000000;183;Ligue 1;12;614;2;0;0;0.82;0
Jack Lahne;se SWE;FW;Amiens;17;90000;174;Ligue 1;1;9;1;0;0;0.82;0
Jordan Lefort;fr FRA;DF;Amiens;25;1000000;184;Ligue 1;10;842;0;1;0;0.82;0
Isaac Mbenza;be BEL;FW;Amiens;23;5000000;188;Ligue 1;3;84;0;0;0;0.82;0
Stiven Mendoza;co COL;FW_MF;Amiens;27;3000000;172;Ligue 1;15;1101;5;0;0;0.82;0
Thomas Monconduit;fr FRA;MF;Amiens;28;2000000;184;Ligue 1;19;1364;0;0;0;0.82;0
Nicholas Opoku;gh GHA;DF;Amiens;21;80000;190;Ligue 1;7;630;0;0;0;0.82;0
Cheick Timite;ci CIV;MF_FW;Amiens;21;1000000;177;Ligue 1;3;115;0;0;0;0.82;0
Bongani Zungu;za RSA;MF;Amiens;26;1000000;184;Ligue 1;21;992;1;0;0;0.82;0
Rayan AĂŻt Nouri;fr FRA;DF;Angers;18;15000000;179;Ligue 1;17;1282;0;2;0;1.39;0
Rachid Alioui;ma MAR;FW;Angers;27;4000000;186;Ligue 1;28;1563;6;1;0;1.39;0
StĂ©phane Bahoken;cm CMR;FW;Angers;27;4000000;185;Ligue 1;20;907;4;0;0;1.39;0
Abdoulaye Bamba;ci CIV;DF;Angers;29;2000000;182;Ligue 1;7;554;0;0;0;1.39;0
Antonin Bobichon;fr FRA;MF;Angers;23;2000000;178;Ligue 1;11;649;2;1;0;1.39;0
Ludovic Butelle;fr FRA;GK;Angers;36;25000;188;Ligue 1;26;2340;0;0;50;1.39;0
Pierrick Capelle;fr FRA;MF_DF;Angers;32;1000000;181;Ligue 1;24;1747;1;2;0;1.39;0
Ibrahim CissĂ©;sn SEN;DF;Angers;23;45000;191;Ligue 1;1;60;0;0;0;1.39;0
Souleyman Doumbia;ci CIV;DF;Angers;22;1000000;183;Ligue 1;5;450;0;1;0;1.39;0
Angelo Fulgini;fr FRA;MF;Angers;22;4000000;183;Ligue 1;20;1579;1;1;0;1.39;0
Wilfried Kanga;fr FRA;FW;Angers;21;90000;185;Ligue 1;4;68;0;0;0;1.39;0
Vincent Manceau;fr FRA;DF;Angers;30;1000000;176;Ligue 1;22;1980;0;0;0;1.39;0
Thomas Mangani;fr FRA;MF;Angers;32;1000000;183;Ligue 1;24;1871;2;2;0;1.39;0
Farid El Melali;dz ALG;MF_FW;Angers;22;1000000;168;Ligue 1;8;306;3;0;0;1.39;0
Casimir Ninga;td CHA;MF_FW;Angers;26;2000000;186;Ligue 1;16;683;3;1;0;1.39;0
ZinĂ©dine Ould Khaled;fr FRA;MF;Angers;19;15000;195;Ligue 1;1;59;0;0;0;1.39;0
Vincent Pajot;fr FRA;MF;Angers;28;1000000;180;Ligue 1;6;113;0;1;0;1.39;0
Mateo PavloviÄ‡;ba BIH;DF;Angers;29;1000000;194;Ligue 1;11;812;0;0;0;1.39;0
ThĂ©o Pellenard;fr FRA;DF;Angers;25;1000000;182;Ligue 1;8;455;0;0;0;1.39;0
Mathias Pereira Lage;pt POR;MF;Angers;22;2000000;180;Ligue 1;25;1542;1;3;0;1.39;0
Jeff Reine-AdĂ©laĂŻde;fr FRA;MF;Angers;21;22000000;184;Ligue 1;1;79;1;1;0;1.39;0
Baptiste Santamaria;fr FRA;MF;Angers;24;7000000;183;Ligue 1;28;2505;1;1;0;1.39;0
Sada Thioub;sn SEN;MF_FW;Angers;24;2000000;179;Ligue 1;23;1508;1;2;0;1.39;0
Romain Thomas;fr FRA;DF;Angers;31;2000000;193;Ligue 1;27;2340;1;2;0;1.39;0
IsmaĂ«l TraorĂ©;ci CIV;DF;Angers;32;1000000;184;Ligue 1;23;2052;0;0;0;1.39;0
Pierre-Emerick Aubameyang;ga GAB;FW;Arsenal;30;56000000;187;Premier League;36;3136;22;3;0;1.47;0
HĂ©ctor BellerĂ­n;es ESP;DF;Arsenal;24;32000000;178;Premier League;15;1158;1;0;0;1.47;0
Dani Ceballos;es ESP;MF;Arsenal;22;32000000;179;Premier League;24;1692;0;2;0;1.47;0
Calum Chambers;eng ENG;DF;Arsenal;24;14000000;182;Premier League;14;1102;1;1;0;1.47;0
MattĂ©o Guendouzi;fr FRA;MF;Arsenal;20;40000000;185;Premier League;24;1748;0;1;0;1.47;0
Rob Holding;eng ENG;DF;Arsenal;23;9000000;189;Premier League;8;581;0;0;0;1.47;0
Sead KolaĹˇinac;ba BIH;DF;Arsenal;26;10000000;183;Premier League;26;1701;0;2;0;1.47;0
Alexandre Lacazette;fr FRA;FW;Arsenal;28;48000000;176;Premier League;30;1874;10;4;0;1.47;0
Bernd Leno;de GER;GK;Arsenal;27;28000000;190;Premier League;30;2649;0;0;110;1.47;0
David Luiz;br BRA;DF;Arsenal;32;6000000;189;Premier League;33;2809;2;1;0;1.47;0
Ainsley Maitland-Niles;eng ENG;DF;Arsenal;21;14000000;180;Premier League;20;1386;0;2;0;1.47;0
Pablo MarĂ­;es ESP;DF;Arsenal;25;4000000;193;Premier League;2;113;0;0;0;1.47;0
Martinelli;br BRA;FW;Arsenal;18;25000000;180;Premier League;14;663;3;0;0;1.47;0
Emiliano MartĂ­nez;ar ARG;GK;Arsenal;26;2000000;195;Premier League;9;771;0;0;33;1.47;0
Henrikh Mkhitaryan;am ARM;FW;Arsenal;30;20000000;177;Premier League;3;112;0;0;0;1.47;0
Nacho Monreal;es ESP;DF;Arsenal;33;3000000;180;Premier League;3;270;0;0;0;1.47;0
Shkodran Mustafi;de GER;DF;Arsenal;27;12000000;184;Premier League;15;1207;0;1;0;1.47;0
Reiss Nelson;eng ENG;FW;Arsenal;19;12000000;175;Premier League;17;631;1;0;0;1.47;0
Eddie Nketiah;eng ENG;FW;Arsenal;20;11000000;180;Premier League;13;633;2;0;0;1.47;0
Mesut Ă–zil;de GER;MF;Arsenal;30;17000000;180;Premier League;18;1438;1;2;0;1.47;0
Sokratis Papastathopoulos;gr GRE;DF;Arsenal;31;6000000;186;Premier League;19;1696;2;0;0;1.47;0
Nicolas PĂ©pĂ©;ci CIV;FW;Arsenal;24;52000000;183;Premier League;31;2010;5;6;0;1.47;0
Bukayo Saka;eng ENG;DF_FW;Arsenal;17;20000000;178;Premier League;26;1753;1;5;0;1.47;0
CĂ©dric Soares;pt POR;DF;Arsenal;27;8000000;171;Premier League;5;249;1;0;0;1.47;0
Kieran Tierney;sco SCO;DF;Arsenal;22;20000000;180;Premier League;15;989;1;1;0;1.47;0
Lucas Torreira;uy URU;MF;Arsenal;23;36000000;166;Premier League;29;1512;1;1;0;1.47;0
Joe Willock;eng ENG;MF_FW;Arsenal;19;16000000;186;Premier League;29;857;1;1;0;1.47;0
Granit Xhaka;ch SUI;MF;Arsenal;26;24000000;186;Premier League;31;2586;1;2;0;1.47;0
Borja BastĂłn;es ESP;MF_FW;Aston_Villa;26;3000000;186;Premier League;2;18;0;0;0;0.92;0
Keinan Davis;eng ENG;FW;Aston_Villa;21;2000000;189;Premier League;18;548;0;0;0;0.92;0
Danny Drinkwater;eng ENG;MF;Aston_Villa;29;4000000;177;Premier League;4;259;0;0;0;0.92;0
Ahmed Elmohamady;eg EGY;DF;Aston_Villa;31;2000000;182;Premier League;18;1031;1;1;0;0.92;0
BjĂ¶rn Engels;be BEL;DF;Aston_Villa;24;9000000;194;Premier League;17;1447;1;0;0;0.92;0
Anwar El Ghazi;nl NED;FW_MF;Aston_Villa;24;8000000;189;Premier League;34;2051;4;4;0;0.92;0
Jack Grealish;eng ENG;FW_MF;Aston_Villa;23;30000000;180;Premier League;36;3233;8;6;0;0.92;0
Frederic Guilbert;fr FRA;DF;Aston_Villa;24;7000000;178;Premier League;25;2041;0;2;0;0.92;0
Kortney Hause;eng ENG;DF;Aston_Villa;24;6000000;191;Premier League;18;1545;1;0;0;0.92;0
Tom Heaton;eng ENG;GK;Aston_Villa;33;4000000;188;Premier League;20;1794;0;0;67;0.92;0
Conor Hourihane;ie IRL;MF;Aston_Villa;28;6000000;181;Premier League;27;1534;3;5;0;0.92;0
Jota;es ESP;FW_MF;Aston_Villa;28;2500000;178;Premier League;10;335;0;1;0;0.92;0
Jonathan Kodjia;ci CIV;FW_MF;Aston_Villa;29;3000000;189;Premier League;6;117;0;0;0;0.92;0
Ezri Konsa;eng ENG;DF;Aston_Villa;21;6000000;183;Premier League;25;2039;1;2;0;0.92;0
Henri Lansbury;eng ENG;MF;Aston_Villa;28;1000000;183;Premier League;10;195;0;0;0;0.92;0
Douglas Luiz;br BRA;MF;Aston_Villa;21;27000000;175;Premier League;36;2612;3;2;0;0.92;0
John McGinn;sco SCO;MF;Aston_Villa;24;16000000;178;Premier League;28;2312;3;3;0;0.92;0
Tyrone Mings;eng ENG;DF;Aston_Villa;26;22000000;195;Premier League;33;2902;2;2;0;0.92;0
Wesley Moraes;br BRA;FW;Aston_Villa;22;20000000;191;Premier League;21;1782;5;1;0;0.92;0
Marvelous Nakamba;zw ZIM;MF;Aston_Villa;25;8000000;177;Premier League;29;1836;0;0;0;0.92;0
Ărjan Nyland;no NOR;GK;Aston_Villa;28;1200000;192;Premier League;7;539;0;0;14;0.92;0
Pepe Reina;es ESP;GK;Aston_Villa;36;65000;188;Premier League;12;1080;0;0;32;0.92;0
Mbwana Samatta;tz TAN;FW;Aston_Villa;26;9000000;183;Premier League;14;943;1;0;0;0.92;0
Matt Targett;eng ENG;DF;Aston_Villa;23;10000000;183;Premier League;28;2291;1;2;0;0.92;0
Neil Taylor;wal WAL;DF;Aston_Villa;30;2000000;176;Premier League;14;1091;0;0;0;0.92;0
TrĂ©zĂ©guet;eg EGY;FW_MF;Aston_Villa;24;8000000;179;Premier League;34;1950;6;1;0;0.92;0
Indiana Vassilev;us USA;FW_MF;Aston_Villa;18;25000;175;Premier League;4;51;0;0;0;0.92;0
Guilherme Arana;br BRA;DF;Atalanta;22;2000000;176;Serie A;4;80;0;0;0;2.05;1
Musa Barrow;gm GAM;FW_MF;Atalanta;20;11000000;184;Serie A;7;190;0;2;0;2.05;1
Raoul Bellanova;it ITA;DF;Atalanta;19;90000;188;Serie A;1;18;0;0;0;2.05;1
Mattia Caldara;it ITA;DF;Atalanta;25;11000000;187;Serie A;14;959;0;1;0;2.05;1
Timothy Castagne;be BEL;DF;Atalanta;23;16000000;180;Serie A;27;1769;1;2;0;2.05;1
Ebrima Colley;gm GAM;FW;Atalanta;19;80000;179;Serie A;5;82;0;1;0;2.05;1
Jacopo Da Riva;it ITA;FW;Atalanta;18;20000;187;Serie A;1;1;0;0;0;2.05;1
Berat Djimsiti;al ALB;DF;Atalanta;26;12000000;190;Serie A;34;2783;2;1;0;2.05;1
Remo Freuler;ch SUI;MF;Atalanta;27;20000000;180;Serie A;31;2337;2;2;0;2.05;1
Pierluigi Gollini;it ITA;GK;Atalanta;24;13000000;194;Serie A;33;2884;0;0;78;2.05;1
Papu GĂłmez;ar ARG;MF_FW;Atalanta;31;15000000;165;Serie A;36;2842;7;16;0;2.05;1
Robin Gosens;de GER;DF;Atalanta;25;20000000;183;Serie A;34;2617;9;7;0;2.05;1
Hans Hateboer;nl NED;DF;Atalanta;25;12000000;185;Serie A;32;2356;0;4;0;2.05;1
Josip Ilicic;si SVN;FW;Atalanta;31;15000000;190;Serie A;26;1663;15;5;0;2.05;1
Simon KjĂ¦r;dk DEN;DF;Atalanta;30;7000000;191;Serie A;5;292;0;0;0;2.05;1
JosĂ© Luis Palomino;ar ARG;DF;Atalanta;29;8000000;188;Serie A;30;2480;2;1;0;2.05;1
Ruslan Malinovskyi;ua UKR;MF_FW;Atalanta;26;11000000;181;Serie A;34;1535;8;3;0;2.05;1
Andrea Masiello;it ITA;DF;Atalanta;33;1000000;184;Serie A;7;543;0;0;0;2.05;1
Luis Muriel;co COL;FW;Atalanta;28;15000000;179;Serie A;34;1260;18;1;0;2.05;1
Mario PaĹˇaliÄ‡;hr CRO;MF_FW;Atalanta;24;25000000;188;Serie A;35;2417;9;5;0;2.05;1
Roberto Piccoli;it ITA;FW;Atalanta;18;1000000;190;Serie A;1;17;0;0;0;2.05;1
Marten de Roon;nl NED;MF;Atalanta;28;19000000;185;Serie A;35;2721;2;5;0;2.05;1
Francesco Rossi;it ITA;GK;Atalanta;28;10000;193;Serie A;1;11;0;0;0;2.05;1
Marco Sportiello;it ITA;GK;Atalanta;27;2000000;192;Serie A;6;525;0;0;14;2.05;1
Bosko Sutalo;hr CRO;DF;Atalanta;19;3000000;188;Serie A;7;280;0;0;0;2.05;1
Adrien Tameze;cm CMR;MF;Atalanta;25;4500000;180;Serie A;7;211;0;0;0;2.05;1
Rafael TolĂłi;br BRA;DF;Atalanta;28;12000000;185;Serie A;33;2608;2;6;0;2.05;1
Amad TraorĂ©;ci CIV;FW;Atalanta;17;12000000;173;Serie A;3;27;1;0;0;2.05;1
DuvĂˇn Zapata;co COL;FW;Atalanta;28;36000000;189;Serie A;28;2026;18;6;0;2.05;1
Aritz Aduriz;es ESP;FW;Athletic_Club;38;800;181;La Liga;14;208;1;0;0;1.34;0
Yeray Ălvarez;es ESP;DF;Athletic_Club;24;24000000;182;La Liga;32;2810;0;0;0;1.34;0
Mikel Balenziaga;es ESP;DF;Athletic_Club;31;1000000;177;La Liga;9;563;0;0;0;1.34;0
Yuri Berchiche;es ESP;DF;Athletic_Club;29;16000000;181;La Liga;33;2850;2;1;0;1.34;0
Ander Capa;es ESP;DF;Athletic_Club;27;6000000;175;La Liga;35;2872;3;4;0;1.34;0
IĂ±igo CĂłrdoba;es ESP;FW;Athletic_Club;22;3000000;180;La Liga;24;1442;1;4;0;1.34;0
BeĂ±at Etxebarria;es ESP;MF;Athletic_Club;32;2000000;176;La Liga;11;394;0;0;0;1.34;0
Dani GarcĂ­a;es ESP;MF;Athletic_Club;29;4000000;179;La Liga;36;3029;0;1;0;1.34;0
RaĂşl GarcĂ­a;es ESP;MF_FW;Athletic_Club;33;4500000;0;La Liga;35;2869;15;1;0;1.34;0
Ibai GĂłmez;es ESP;FW;Athletic_Club;29;3000000;178;La Liga;17;695;0;0;0;1.34;0
Iago HerrerĂ­n;es ESP;GK;Athletic_Club;31;2000000;187;La Liga;5;425;0;0;9;1.34;0
Kenan Kodro;ba BIH;FW_MF;Athletic_Club;25;80000;188;La Liga;12;364;1;0;0;1.34;0
Larra;es ESP;FW_MF;Athletic_Club;21;2000000;180;La Liga;10;250;0;0;0;1.34;0
IĂ±igo Lekue;es ESP;FW_DF;Athletic_Club;26;1000000;180;La Liga;14;623;0;1;0;1.34;0
Unai LĂłpez;es ESP;MF;Athletic_Club;23;2000000;170;La Liga;26;1787;1;4;0;1.34;0
Ă“scar de Marcos;es ESP;DF_FW;Athletic_Club;30;3000000;182;La Liga;13;541;0;1;0;1.34;0
IĂ±igo MartĂ­nez;es ESP;DF;Athletic_Club;28;25000000;182;La Liga;33;2970;1;1;0;1.34;0
Iker Muniain;es ESP;FW_MF;Athletic_Club;26;14000000;169;La Liga;31;2382;5;2;0;1.34;0
Unai NĂşĂ±ez;es ESP;DF;Athletic_Club;22;16000000;186;La Liga;20;1572;0;0;0;1.34;0
Mikel San JosĂ©;es ESP;MF;Athletic_Club;30;4000000;187;La Liga;9;359;0;0;0;1.34;0
Oihan Sancet;es ESP;MF;Athletic_Club;19;2000000;188;La Liga;17;741;1;1;0;1.34;0
Unai SimĂłn;es ESP;GK;Athletic_Club;22;16000000;190;La Liga;34;2991;0;0;78;1.34;0
Mikel Vesga;es ESP;MF;Athletic_Club;26;2000000;191;La Liga;20;1269;0;1;0;1.34;0
Asier Villalibre;es ESP;FW;Athletic_Club;21;3000000;184;La Liga;19;531;3;0;0;1.34;0
IĂ±aki Williams;es ESP;FW;Athletic_Club;25;40000000;186;La Liga;38;2939;6;1;0;1.34;0
Antonio AdĂˇn;es ESP;GK;Atletico_Madrid;32;80000;190;La Liga;1;25;0;0;1;1.84;1
Santiago Arias;co COL;DF;Atletico_Madrid;27;12000000;177;La Liga;14;1076;0;1;0;1.84;1
Sergio Camello;es ESP;FW;Atletico_Madrid;18;2000000;177;La Liga;2;25;0;0;0;1.84;1
Yannick Carrasco;be BEL;MF_FW;Atletico_Madrid;25;22000000;181;La Liga;15;631;1;2;0;1.84;1
Ă“scar Clemente;es ESP;MF;Atletico_Madrid;20;90000;175;La Liga;1;4;0;0;0;1.84;1
Ăngel Correa;ar ARG;MF_FW;Atletico_Madrid;24;32000000;171;La Liga;33;2061;5;6;0;1.84;1
Diego Costa;es ESP;FW;Atletico_Madrid;30;14000000;186;La Liga;23;1350;5;4;0;1.84;1
Felipe;br BRA;DF;Atletico_Madrid;30;25000000;190;La Liga;25;2102;1;0;0;1.84;1
JoĂŁo FĂ©lix;pt POR;FW_MF;Atletico_Madrid;19;81000000;180;La Liga;27;1745;6;1;0;1.84;1
Mario Hermoso;es ESP;DF;Atletico_Madrid;24;20000000;184;La Liga;17;1217;0;0;0;1.84;1
HĂ©ctor Herrera;mx MEX;MF;Atletico_Madrid;29;16000000;180;La Liga;21;1123;0;2;0;1.84;1
Koke;es ESP;MF;Atletico_Madrid;27;60000000;176;La Liga;32;2698;4;5;0;1.84;1
Thomas Lemar;fr FRA;MF;Atletico_Madrid;23;24000000;171;La Liga;22;925;0;0;0;1.84;1
Marcos Llorente;es ESP;MF_FW;Atletico_Madrid;24;16000000;184;La Liga;29;1368;3;3;0;1.84;1
Renan Lodi;br BRA;DF;Atletico_Madrid;21;31000000;178;La Liga;32;2396;1;2;0;1.84;1
JosĂ© MarĂ­a GimĂ©nez;uy URU;DF;Atletico_Madrid;24;70000000;185;La Liga;21;1755;0;0;0;1.84;1
Ălvaro Morata;es ESP;FW;Atletico_Madrid;26;36000000;187;La Liga;34;2098;12;2;0;1.84;1
SaĂşl Ă‘Ă­guez;es ESP;MF_DF;Atletico_Madrid;24;72000000;184;La Liga;35;3072;6;0;0;1.84;1
Jan Oblak;si SVN;GK;Atletico_Madrid;26;90000000;188;La Liga;38;3395;0;0;82;1.84;1
Thomas Partey;gh GHA;MF;Atletico_Madrid;26;40000000;185;La Liga;35;2549;3;0;0;1.84;1
DarĂ­o Poveda;es ESP;FW;Atletico_Madrid;22;25000;187;La Liga;1;8;0;0;0;1.84;1
Rodrigo Riquelme;es ESP;MF;Atletico_Madrid;19;2000000;174;La Liga;1;13;0;0;0;1.84;1
Manuel SĂˇnchez;es ESP;DF;Atletico_Madrid;18;8000000;171;La Liga;5;325;0;0;0;1.84;1
Stefan SaviÄ‡;me MNE;DF;Atletico_Madrid;28;20000000;187;La Liga;22;1980;0;0;0;1.84;1
Kieran Trippier;eng ENG;DF;Atletico_Madrid;28;28000000;173;La Liga;25;1979;0;4;0;1.84;1
GermĂˇn Valera;es ESP;FW;Atletico_Madrid;17;1000000;170;La Liga;1;4;0;0;0;1.84;1
Vitolo;es ESP;MF_FW;Atletico_Madrid;29;10000000;185;La Liga;28;1227;3;2;0;1.84;1
Ĺ ime Vrsaljko;hr CRO;DF;Atletico_Madrid;27;10000000;181;La Liga;5;362;0;1;0;1.84;1
Daniel Baier;de GER;MF;Augsburg;35;40000;176;Bundesliga;23;1941;1;0;0;1.06;0
Noah Joel Sarenren Bazee;ng NGA;FW;Augsburg;22;1500000;183;Bundesliga;10;381;1;0;0;1.06;0
Sergio CĂłrdova;ve VEN;FW_MF;Augsburg;21;1000000;188;Bundesliga;16;367;2;1;0;1.06;0
Ohis Felix Uduokhai;de GER;DF;Augsburg;21;12000000;192;Bundesliga;26;1966;0;0;0;1.06;0
AlfreĂ° Finnbogason;is ISL;FW;Augsburg;30;2500000;184;Bundesliga;21;966;3;1;0;1.06;0
Raphael Framberger;de GER;DF;Augsburg;23;1000000;179;Bundesliga;18;1175;0;2;0;1.06;0
Jeffrey Gouweleeuw;nl NED;DF;Augsburg;28;9000000;187;Bundesliga;21;1645;0;1;0;1.06;0
Michael Gregoritsch;at AUT;MF_FW;Augsburg;25;5000000;193;Bundesliga;6;303;0;0;0;1.06;0
Carlos Gruezo;ec ECU;MF;Augsburg;24;1000000;171;Bundesliga;11;886;0;1;0;1.06;0
AndrĂ© Hahn;de GER;FW_MF;Augsburg;28;1000000;185;Bundesliga;15;702;1;0;0;1.06;0
Iago;br BRA;DF_MF;Augsburg;22;6500000;181;Bundesliga;10;674;1;1;0;1.06;0
Tin Jedvaj;hr CRO;DF;Augsburg;23;7000000;188;Bundesliga;31;2638;2;0;0;1.06;0
Fredrik Jensen;fi FIN;FW_MF;Augsburg;21;2000000;183;Bundesliga;10;457;1;0;0;1.06;0
Rani Khedira;de GER;MF;Augsburg;25;8000000;188;Bundesliga;32;2649;0;2;0;1.06;0
TomĂˇĹˇ Koubek;cz CZE;GK;Augsburg;26;2500000;197;Bundesliga;24;2160;0;0;72;1.06;0
Stephan Lichtsteiner;ch SUI;DF;Augsburg;35;80000;182;Bundesliga;20;1343;0;1;0;1.06;0
Eduard LĂ¶wen;de GER;MF_FW;Augsburg;22;5000000;188;Bundesliga;16;671;2;1;0;1.06;0
Andreas Luthe;de GER;GK;Augsburg;32;40000;195;Bundesliga;10;900;0;0;23;1.06;0
Philipp Max;de GER;DF;Augsburg;25;13000000;177;Bundesliga;31;2706;8;6;0;1.06;0
Jan MorĂˇvek;cz CZE;MF;Augsburg;29;60000;180;Bundesliga;11;474;0;1;0;1.06;0
Florian Niederlechner;de GER;FW_MF;Augsburg;28;8000000;187;Bundesliga;33;2720;13;6;0;1.06;0
Reece Oxford;eng ENG;MF;Augsburg;20;2000000;190;Bundesliga;12;375;0;0;0;1.06;0
Mads Pedersen;dk DEN;DF;Augsburg;22;72500;174;Bundesliga;2;96;0;1;0;1.06;0
Marco Richter;de GER;MF_FW;Augsburg;21;8000000;176;Bundesliga;31;2280;4;3;0;1.06;0
Julian Schieber;de GER;FW;Augsburg;30;60000;186;Bundesliga;2;43;0;0;0;1.06;0
Marek SuchĂ˝;cz CZE;DF;Augsburg;31;1000000;183;Bundesliga;7;397;0;0;0;1.06;0
Georg Teigl;at AUT;DF_MF;Augsburg;28;55000;183;Bundesliga;3;111;0;0;0;1.06;0
Ruben Vargas;ch SUI;FW_MF;Augsburg;20;9000000;174;Bundesliga;33;2530;6;1;0;1.06;0
Jordi Alba;es ESP;DF;Barcelona;30;40000000;170;La Liga;27;2187;2;5;0;2.16;1
Carles AleĂ±Ăˇ;es ESP;MF;Barcelona;21;18000000;180;La Liga;4;172;0;0;0;2.16;1
Ronald AraĂşjo;uy URU;DF;Barcelona;20;4000000;188;La Liga;6;238;0;0;0;2.16;1
Martin Braithwaite;dk DEN;FW_MF;Barcelona;28;9000000;177;La Liga;11;407;1;0;0;2.16;1
Sergio Busquets;es ESP;MF;Barcelona;31;28000000;189;La Liga;33;2483;2;2;0;2.16;1
